"symbol","logFC","lo","hi","adj.P.Val","dataset"
"EGLN3",-2.11653442178911,-2.92840554065379,-1.30466330292443,0.000345250936921179,"Discovery hiPSC-CM"
"TNFRSF12A",-2.14498021179304,-3.13427190952961,-1.15568851405648,0.0100628180516067,"Discovery hiPSC-CM"
"VEGFA",-1.74880863516234,-2.50478579751448,-0.992831472810195,0.00412611140348699,"Discovery hiPSC-CM"
"TNFRSF12A",-1.6615419403063,-1.83713941025852,-1.48594447035409,7.639294051675e-74,"Independent hiPSC-CM"
"EGLN3",-1.70191188459711,-1.98835950472884,-1.41546426446537,3.87689852948028e-29,"Independent hiPSC-CM"
"VEGFA",-0.459187639995115,-0.877969659726041,-0.0404056202641894,0.16991469689467,"Independent hiPSC-CM"
"EGLN3",-0.638188954861112,-0.966373779363478,-0.310004130358746,0.00663382246044708,"Rat heart in vivo"
"TNFRSF12A",-1.48284157291666,-2.0478435995305,-0.917839546302825,0.000348797136491914,"Rat heart in vivo"
"VEGFA",0.075255496527777,-0.192357232781295,0.342868225836849,0.74163607156419,"Rat heart in vivo"
